City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,-53.15,-70.92,44.6,65,75,20.8,CL,1603199821
khatanga,71.97,102.5,7.9,95,82,8.9,RU,1603199883
ushuaia,-54.8,-68.3,39.2,69,75,21.92,AR,1603199799
cabo san lucas,22.89,-109.91,77.0,69,5,11.41,MX,1603200107
norman wells,65.28,-126.83,15.8,92,75,8.05,CA,1603200204
saint-louis,16.33,-15.0,100.4,31,91,6.93,SN,1603200205
murray bridge,-35.12,139.27,52.0,96,55,4.88,AU,1603200206
puerto ayora,-0.74,-90.35,70.0,89,97,8.99,EC,1603199862
rikitea,-23.12,-134.97,73.17,79,13,12.68,PF,1603199803
saint-philippe,-21.36,55.77,79.0,69,20,19.46,RE,1603199851
kushiro,42.98,144.37,44.15,82,0,6.24,JP,1603200212
hermanus,-34.42,19.23,64.0,61,0,7.0,ZA,1603199798
kapaa,22.08,-159.32,73.0,80,21,8.52,US,1603199852
santa maria,-29.68,-53.81,80.51,56,0,5.73,BR,1603199989
villarrica,-25.75,-56.43,88.92,44,0,4.85,PY,1603200216
clyde river,70.47,-68.59,24.31,89,23,9.31,CA,1603199801
busselton,-33.65,115.33,60.01,59,75,11.97,AU,1603199874
gat,31.61,34.76,84.99,47,0,14.03,IL,1603200039
sao joao da barra,-21.64,-41.05,78.8,65,75,13.87,BR,1603200099
porto novo,6.5,2.6,84.2,79,40,13.87,BJ,1603199865
westport,41.14,-73.36,62.6,93,90,5.82,US,1603200224
oksfjord,70.24,22.35,37.4,86,40,3.36,NO,1603200225
cape town,-33.93,18.42,66.2,48,11,8.05,ZA,1603199700
gorele,41.03,39.0,62.6,93,75,4.7,TR,1603199984
mataura,-46.19,168.86,46.99,83,86,1.92,NZ,1603199808
yellowknife,62.46,-114.35,25.0,92,68,4.72,CA,1603199887
halifax,44.65,-63.57,62.01,100,90,5.82,CA,1603200108
georgetown,5.41,100.34,86.0,74,20,3.36,MY,1603199790
butaritari,3.07,172.79,81.73,75,100,11.39,KI,1603199806
vaini,-21.2,-175.2,69.8,77,20,6.93,TO,1603200012
jamestown,42.1,-79.24,48.0,100,90,12.75,US,1603199848
barra patuca,15.8,-84.28,80.2,79,99,9.98,HN,1603200236
lompoc,34.64,-120.46,55.4,93,90,4.97,US,1603199588
paramirim,-13.44,-42.24,88.25,39,100,4.74,BR,1603200238
dryden,49.78,-92.75,21.2,85,20,5.82,CA,1603200240
klaksvik,62.23,-6.59,44.6,73,59,17.22,FO,1603200241
kathmandu,27.72,85.32,71.6,73,75,8.05,NP,1603200102
nema,57.51,50.5,36.88,81,100,9.37,RU,1603200243
namibe,-15.2,12.15,77.0,65,40,17.22,AO,1603199839
souillac,-20.52,57.52,78.8,69,40,12.75,MU,1603200245
pella,59.78,30.82,37.4,76,75,4.47,RU,1603200246
tabuk,17.42,121.44,73.76,93,100,16.04,PH,1603200079
broken hill,-31.95,141.43,62.6,36,95,6.69,AU,1603200248
sao filipe,14.9,-24.5,87.19,53,74,10.6,CV,1603200021
saint-pierre,-21.34,55.48,79.0,69,20,19.46,RE,1603200020
lorengau,-2.02,147.27,81.66,70,100,2.86,PG,1603200023
sohbatpur,28.52,68.54,82.17,11,0,7.36,PK,1603200254
torbay,47.67,-52.73,57.0,76,91,3.0,CA,1603199956
rudbar,30.15,62.6,73.83,17,0,9.19,AF,1603200256
castro,-24.79,-50.01,73.9,63,20,6.31,BR,1603199841
mount gambier,-37.83,140.77,46.4,87,100,5.82,AU,1603200259
nemuro,43.32,145.57,49.98,65,1,7.49,JP,1603200260
dikson,73.51,80.55,21.11,95,83,10.89,RU,1603199952
cherskiy,68.75,161.3,21.0,97,79,3.13,RU,1603200154
laguna de perlas,12.34,-83.67,75.2,100,40,4.7,NI,1603200265
olafsvik,64.89,-23.71,38.03,76,100,7.85,IS,1603200266
lagoa,39.05,-27.98,63.55,70,1,26.8,PT,1603200267
barahona,18.21,-71.1,80.6,88,20,5.82,DO,1603200268
inuvik,68.35,-133.72,17.33,97,94,10.29,CA,1603199975
noumea,-22.28,166.46,73.4,69,75,4.7,NC,1603200190
los lunas,34.81,-106.73,50.0,32,1,3.36,US,1603200056
provideniya,64.38,-173.3,36.52,88,23,10.22,RU,1603199897
saint george,37.1,-113.58,53.6,23,1,2.84,US,1603199603
varhaug,58.61,5.65,50.0,99,100,4.0,NO,1603200274
nelson bay,-32.72,152.15,62.01,82,1,6.93,AU,1603200275
ivanovka,42.89,75.08,62.6,20,0,11.18,KG,1603200008
carnarvon,-24.87,113.63,69.8,73,0,19.46,AU,1603200088
jibuti,11.5,42.5,91.4,49,1,8.05,DJ,1603200280
mahebourg,-20.41,57.7,78.8,69,40,12.75,MU,1603199988
hofn,64.25,-15.21,38.48,70,11,3.85,IS,1603200282
krasnoselkup,65.7,82.47,23.27,98,100,9.42,RU,1603200010
takhtamygda,54.1,123.57,32.85,94,100,5.1,RU,1603200284
muros,42.78,-9.06,64.99,80,100,21.0,ES,1603200285
bongandanga,1.5,21.05,90.05,49,8,2.26,CD,1603200286
umm lajj,25.02,37.27,90.16,42,0,8.7,SA,1603200287
aleksandrov gay,50.15,48.57,53.13,42,0,10.71,RU,1603200288
ostrovnoy,68.05,39.51,37.51,78,100,15.61,RU,1603200172
escanaba,45.75,-87.06,30.0,79,1,4.7,US,1603200238
kundla,21.33,71.3,85.5,67,99,4.12,IN,1603200291
whitehorse,60.72,-135.05,19.0,88,100,1.99,CA,1603200050
aykhal,66.0,111.5,12.2,100,90,2.24,RU,1603199999
dingle,11.0,122.67,76.89,87,100,7.02,PH,1603200294
east london,-33.02,27.91,69.8,56,4,23.04,ZA,1603199880
keetmanshoop,-26.58,18.13,80.6,15,0,6.93,NA,1603200297
upernavik,72.79,-56.15,32.67,89,100,2.15,GL,1603199844
hovd,48.01,91.64,30.31,81,57,1.25,MN,1603200184
komsomolskiy,40.43,71.72,66.2,29,0,2.24,UZ,1603200300
katsuura,35.13,140.3,62.6,72,20,9.17,JP,1603200301
pumiao,22.75,108.48,68.0,68,99,6.71,CN,1603200302
saint-gabriel,46.3,-73.38,44.01,93,90,5.82,CA,1603200304
sinnamary,5.38,-52.95,85.86,66,41,11.48,GF,1603199997
mancio lima,-7.61,-72.9,84.06,58,92,2.93,BR,1603200306
virginia beach,36.85,-75.98,66.2,93,90,4.32,US,1603200182
tuktoyaktuk,69.45,-133.04,19.02,97,100,13.87,CA,1603199855
tilichiki,60.47,166.1,34.81,100,100,7.72,RU,1603200309
sosnovka,56.26,51.28,39.78,73,100,11.21,RU,1603200310
coihaique,-45.58,-72.07,41.0,75,20,4.7,CL,1603200311
bredasdorp,-34.53,20.04,69.8,43,0,12.75,ZA,1603199842
qaanaaq,77.48,-69.36,25.25,84,0,8.9,GL,1603199946
mangochi,-14.48,35.26,90.46,31,70,7.45,MW,1603200315
port elizabeth,-33.92,25.57,68.0,42,20,27.51,ZA,1603199877
flin flon,54.77,-101.86,26.6,63,90,2.24,CA,1603200153
hami,42.8,93.45,49.12,44,0,3.36,CN,1603199942
avarua,-21.21,-159.78,73.4,94,20,1.12,CK,1603199957
hobart,-42.88,147.33,54.0,81,75,8.05,AU,1603199661
itoman,26.12,127.67,80.6,74,75,13.87,JP,1603200323
ouadda,8.08,22.4,87.57,50,56,5.37,CF,1603200324
nikolskoye,59.7,30.79,37.4,76,75,6.71,RU,1603199833
vila velha,-20.33,-40.29,77.0,88,90,4.7,BR,1603199811
gobo,33.88,135.15,62.6,82,20,4.7,JP,1603200327
port augusta,-32.5,137.77,64.4,59,40,3.36,AU,1603200328
rocha,-34.48,-54.33,50.04,91,100,11.56,UY,1603199856
igrim,63.19,64.42,31.91,96,100,3.69,RU,1603200331
vilhena,-12.74,-60.15,88.66,43,21,2.42,BR,1603200042
tarko-sale,64.92,77.78,26.6,98,100,6.89,RU,1603200333
pochutla,15.74,-96.47,75.2,83,5,3.85,MX,1603200003
nanakuli,21.39,-158.15,80.6,74,90,9.17,US,1603200335
san luis rio colorado,32.46,-114.78,69.8,32,1,4.7,MX,1603200336
barrow,71.29,-156.79,30.2,68,90,13.87,US,1603199539
miri,4.41,114.01,80.6,88,40,3.36,MY,1603200338
manggar,-2.88,108.27,82.38,75,61,1.9,ID,1603200339
port alfred,-33.59,26.89,67.77,57,94,26.26,ZA,1603199791
lasa,46.62,10.7,57.99,75,75,10.29,IT,1603199893
podor,16.65,-14.96,100.4,31,88,6.93,MR,1603200343
lavrentiya,65.58,-171.0,33.76,89,0,6.04,RU,1603200108
kaitangata,-46.28,169.85,48.0,86,99,2.08,NZ,1603199906
homer,59.64,-151.55,37.99,92,1,6.93,US,1603200347
cabedelo,-6.98,-34.83,84.2,62,75,19.46,BR,1603200348
ust-ilimsk,58.0,102.66,26.69,97,100,5.91,RU,1603200350
codrington,-38.27,141.97,48.33,86,100,4.25,AU,1603200351
geraldton,-28.77,114.6,64.4,77,90,12.75,AU,1603200353
sorland,67.67,12.69,42.8,60,75,6.93,NO,1603200354
nanortalik,60.14,-45.24,36.86,83,100,5.1,GL,1603200355
silifke,36.38,33.93,80.56,54,18,8.95,TR,1603200356
ribeira grande,38.52,-28.7,62.6,72,40,9.17,PT,1603199832
albany,42.6,-73.97,59.0,79,100,5.28,US,1603199581
biltine,14.53,20.92,99.54,9,0,11.54,TD,1603200359
zhicheng,30.3,111.5,57.0,83,100,4.34,CN,1603200360
lebu,-37.62,-73.65,51.44,66,0,14.9,CL,1603200002
arraial do cabo,-22.97,-42.03,80.6,65,40,18.34,BR,1603199975
chinsali,-10.54,32.08,88.84,25,47,5.12,ZM,1603200364
suba,10.84,121.01,82.72,77,100,14.88,PH,1603200365
ihosy,-22.4,46.12,85.62,22,0,11.65,MG,1603200366
ixtapa,20.7,-105.2,80.01,94,5,3.36,MX,1603199886
chapais,49.78,-74.85,32.0,95,75,3.24,CA,1603200368
hohhot,40.81,111.65,44.6,14,0,20.13,CN,1603200102
ponta do sol,32.67,-17.1,77.0,50,40,10.29,PT,1603199790
cap malheureux,-19.98,57.61,77.0,66,0,10.0,MU,1603200372
loandjili,-4.76,11.86,84.2,70,40,10.29,CG,1603200373
san quintin,30.48,-115.95,64.81,90,13,8.97,MX,1603200077
victoria,22.29,114.16,78.01,68,0,3.0,HK,1603199703
tsubata,36.67,136.73,59.0,76,20,3.36,JP,1603200377
lhokseumawe,5.18,97.15,80.82,79,98,2.66,ID,1603200378
bethel,41.37,-73.41,59.0,100,90,4.7,US,1603199876
thompson,55.74,-97.86,18.64,96,96,4.07,CA,1603200098
asfi,32.3,-9.24,74.39,48,68,39.64,MA,1603200381
bulnes,-36.74,-72.3,55.0,66,100,13.87,CL,1603200382
camacari,-12.7,-38.32,82.4,74,40,14.99,BR,1603200383
ferme-neuve,46.7,-75.45,36.0,93,100,3.29,CA,1603199760
takab,36.4,47.11,68.5,19,0,7.76,IR,1603200385
te anau,-45.42,167.72,36.12,87,12,1.12,NZ,1603200386
bathsheba,13.22,-59.52,87.8,74,75,8.05,BB,1603200387
qaqortoq,60.72,-46.03,33.8,100,75,4.7,GL,1603200389
ust-maya,60.42,134.53,21.6,97,100,2.37,RU,1603200390
bambous virieux,-20.34,57.76,78.8,69,40,12.75,MU,1603199843
bluff,-46.6,168.33,46.99,83,82,13.22,NZ,1603199826
atuona,-9.8,-139.03,77.05,78,3,21.59,PF,1603199913
pevek,69.7,170.31,30.76,93,100,18.84,RU,1603199974
fortuna,40.6,-124.16,52.0,100,90,8.05,US,1603200059
puerto colombia,10.99,-74.95,78.8,88,75,4.7,CO,1603200334
new norfolk,-42.78,147.06,54.0,67,100,2.01,AU,1603199809
lloydminster,53.28,-110.0,18.7,98,83,4.14,CA,1603200149
kavaratti,10.57,72.64,81.95,70,100,10.02,IN,1603200401
zhadovka,53.57,46.95,43.97,60,100,12.68,RU,1603200403
kabanjahe,3.1,98.49,82.4,83,40,2.24,ID,1603200404
adrar,20.5,-10.07,92.86,11,0,8.37,MR,1603200406
viransehir,37.24,39.76,85.86,19,100,12.57,TR,1603200409
plettenberg bay,-34.05,23.37,65.14,56,0,13.2,ZA,1603199873
gannan,47.91,123.5,51.48,46,100,11.54,CN,1603200411
cadereyta,25.58,-99.98,71.6,94,75,6.93,MX,1603200412
pestyaki,56.71,42.67,37.2,85,100,7.43,RU,1603200413
george,-33.96,22.46,62.6,72,75,14.99,ZA,1603200352
kodiak,57.79,-152.41,39.2,69,75,16.8,US,1603199979
roros,62.57,11.38,28.4,86,75,4.7,NO,1603200416
kambam,5.25,96.86,82.0,76,78,2.46,ID,1603200418
preobrazheniye,42.9,133.91,50.7,69,0,1.95,RU,1603200419
saskylakh,71.92,114.08,19.71,97,91,3.78,RU,1603199860
san andres,12.58,-81.7,77.0,100,40,6.17,CO,1603199901
canavieiras,-15.68,-38.95,78.13,85,77,5.37,BR,1603200422
angermunde,53.02,14.0,55.99,54,100,14.2,DE,1603200423
kenora,49.82,-94.43,21.2,79,40,5.82,CA,1603200424
severo-kurilsk,50.68,156.12,40.06,71,14,22.12,RU,1603199933
bonavista,48.65,-53.11,54.0,86,100,8.01,CA,1603200138
longyearbyen,78.22,15.64,24.8,68,20,6.93,SJ,1603200043
arlit,18.74,7.39,102.51,7,0,9.08,NE,1603200428
uribia,11.71,-72.27,83.53,70,89,7.31,CO,1603200429
srivardhan,18.03,73.02,80.91,84,100,4.18,IN,1603200133
eyl,7.98,49.82,86.38,59,0,14.81,SO,1603200432
kruisfontein,-34.0,24.73,70.0,41,0,15.01,ZA,1603200092
tuatapere,-46.13,167.68,46.0,84,82,1.01,NZ,1603200434
pangnirtung,66.15,-65.71,23.29,92,100,8.37,CA,1603199919
ordynskoye,54.37,81.9,40.33,76,1,6.62,RU,1603200436
ostersund,63.18,14.64,30.2,92,20,10.29,SE,1603200075
